ingredient_id,ingredient_name,norm_name
2567,"TJ's Turkey Cutlets (4-5 cutlets), patted dry",turkey cutlets
2568,TJ's Olive oil,extra virgin olive oil
2569,"TJ's Organic Foursome Vegetable Medley, thawed",foursome vegetable medley
2570,TJ's Fresh Thyme,thyme
2571,TJ's Frozen Toaster Waffles,frozen toaster waffles
2572,"TJ's Blueberries, fresh or frozen",blueberries
2573,"TJ's Organic Basil, cut into strips",basil
2574,TJ's Ciliegine Mozzarella,ciliegine mozzarella
2575,TJ's Balsamic Vinaigrette,balsamic vinaigrette
2576,"TJ's ground Black Pepper, or to taste",ground black pepper
