category,product_name,price,unit,url,norm_name
Cheese,Raclette Sliced Cheese,$6.99,/8.8 Oz,https://www.traderjoes.com/home/products/pdp/raclette-sliced-cheese-097089,raclette sliced cheese
Cheese,Cheddar Cheese with Scotch Bonnet Chili Peppers,$9.99,/1 Lb,https://www.traderjoes.com/home/products/pdp/cheddar-cheese-with-scotch-bonnet-chili-peppers-072426,cheddar cheese with scotch bonnet chili peppers
Cheese,Vegan Cream Cheese Alternative,$2.99,/8 Oz,https://www.traderjoes.com/home/products/pdp/vegan-cream-cheese-alternative-070942,vegan cream cheese alternative
Cheese,Unexpected Cheddar Cheese,$3.99,/7 Oz,https://www.traderjoes.com/home/products/pdp/unexpected-cheddar-cheese-096923,cheddar cheese
Cheese,Cheddar Cheese with Caramelized Onions,$10.99,/1 Lb,https://www.traderjoes.com/home/products/pdp/cheddar-cheese-with-caramelized-onions-052381,cheddar cheese with caramelized onions
Cheese,Shredded Parmesan Cheese Alternative,$3.99,/8 Oz,https://www.traderjoes.com/home/products/pdp/shredded-parmesan-cheese-alternative-070636,parmesan cheese alternative
Cheese,Chevre Goat Cheese,$2.99,/5 Oz,https://www.traderjoes.com/home/products/pdp/chevre-goat-cheese-019751,chevre goat cheese
Cheese,Cheddar & Gruyere Mèlange Cheese,$7.99,/1 Lb,https://www.traderjoes.com/home/products/pdp/cheddar-gruyere-melange-cheese-095552,cheddar & gruyere mèlange cheese
Cheese,Shredded Lite Mozzarella Cheese,$3.99,/12 Oz,https://www.traderjoes.com/home/products/pdp/shredded-lite-mozzarella-cheese-069040,shredded lite mozzarella cheese
Cheese,Italian Truffle Cheese,$13.99,/1 Lb,https://www.traderjoes.com/home/products/pdp/italian-truffle-cheese-088649,italian truffle cheese
Cheese,New Zealand Sharp Cheddar Cheese,$6.99,/1 Lb,https://www.traderjoes.com/home/products/pdp/new-zealand-sharp-cheddar-cheese-004062,new zealand sharp cheddar cheese
Cheese,Saint André Triple Crème Brie,$13.99,/1 Lb,https://www.traderjoes.com/home/products/pdp/saint-andre-triple-creme-brie-074688,saint andré triple crème brie
Cheese,Grated Parmesan Cheese,$2.99,/8 Oz,https://www.traderjoes.com/home/products/pdp/grated-parmesan-cheese-069823,parmesan cheese
Cheese,Organic Shredded 3 Cheese Blend,$4.49,/8 Oz,https://www.traderjoes.com/home/products/pdp/organic-shredded-3-cheese-blend-062070,cheese blend
Cheese,Onion & Chive Cream Cheese Spread,$2.29,/8 Oz,https://www.traderjoes.com/home/products/pdp/onion-chive-cream-cheese-spread-062189,onion & chive cream cheese spread
Cheese,Sliced New Zealand Organic Cheddar,$4.99,/8 Oz,https://www.traderjoes.com/home/products/pdp/sliced-new-zealand-organic-cheddar-056942,sliced new zealand cheddar
Cheese,Israeli Feta,$7.99,/17.6 Oz,https://www.traderjoes.com/home/products/pdp/israeli-feta-063082,israeli feta
Cheese,Part Skim Ricotta Cheese,$3.99,/16 Oz,https://www.traderjoes.com/home/products/pdp/part-skim-ricotta-cheese-061467,part skim ricotta cheese
Cheese,Chevre with Honey,$3.29,/5 Oz,https://www.traderjoes.com/home/products/pdp/chevre-with-honey-060556,chevre with honey
Cheese,Shredded Unexpected Cheddar Cheese,$4.99,/8 Oz,https://www.traderjoes.com/home/products/pdp/shredded-unexpected-cheddar-cheese-065191,unexpected cheddar cheese
